specID,ips,mds,mpt,ptt,interval
95,NA,1,NA,NA,250
3398,NA,NA,NA,NA,750
3395,NA,NA,NA,NA,750
3407,1,1,5,2,750
3413,NA,NA,NA,NA,750
3417,1,1,NA,NA,750
3406,1,NA,NA,NA,750
3411,1,1,6,2,750
3389,NA,1,NA,NA,1000
3374,1,1,6,2,1000
3348,1,1,5,2,1000
3329,NA,NA,NA,NA,1250
3158,0,1,6,3,2000
90,1,2,5,2,2000
3143,1,0,5,2,2000
3128,1,1,4,NA,2000
3129,NA,NA,NA,NA,2000
3130,NA,NA,NA,NA,2000
3154,NA,NA,NA,NA,2000
3136,0,1,6,NA,2000
3088,1,NA,NA,NA,2000
3089,1,NA,NA,NA,2000
3069,NA,2,5,1,2000
3087,1,1,NA,NA,2250
3043,NA,NA,NA,NA,2250
4143,0,1,4,1,2250
3034,1,NA,NA,NA,2250
4109,NA,NA,NA,NA,2250
3037,1,2,5,2,2250
4148,NA,3,NA,NA,2250
4122,NA,NA,NA,NA,2250
4123,0,1,5,2,2250
2959,NA,NA,NA,NA,2250
3044,1,1,NA,NA,2250
4068,1,2,NA,NA,2250
4118,1,1,NA,NA,2250
4120,1,2,NA,NA,2250
4116,NA,NA,NA,NA,2250
3045.1,NA,NA,NA,NA,2250
3045.2,NA,NA,NA,NA,2250
3033,1,2,5,3,2250
4104,NA,1,4,1,2250
2961,1,1,NA,NA,2250
4089,0,1,6,2,2250
2942,0,1,6,3,2250
3012,0,1,5,2,2250
4072,NA,1,6,2,2250
3018,1,1,NA,NA,2250
4088,NA,NA,NA,NA,2250
3017,1,1,5,2,2250
2990,1,1,5,1,2250
3016,1,NA,NA,NA,2250
3004,NA,NA,NA,NA,2250
3005,NA,NA,NA,NA,2250
4075,NA,NA,NA,NA,2250
4080,0,1,6,2,2250
2949,1,1,5,2,2250
2998,NA,NA,NA,NA,2250
4063,1,1,6,2,2500
4036,NA,1,5,1,2500
4040,1,2,5,2,2500
2986,1,2,5,2,2500
4050,1,2,6,3,2500
4022,1,2,6,3,2500
2983,NA,NA,NA,NA,2500
2981,NA,NA,NA,NA,2500
4042,1,1,5,2,2500
4026,0,2,5,2,2500
4030,NA,1,5,2,2500
4031,1,1,5,2,2500
4017,NA,1,NA,NA,2500
2954,NA,NA,NA,NA,2500
3973,1,1,4,1,2500
4003,1,1,5,2,2500
4023,NA,2,5,2,2500
3988,1,1,5,3,2500
3993,1,1,5,2,2500
4005,1,1,5,2,2500
4008,1,1,6,2,2500
3994,1,NA,5,2,2500
4000,1,1,4,1,2500
3983,NA,1,NA,NA,2500
3981,NA,NA,NA,NA,2500
2903,NA,NA,NA,NA,2500
2894,NA,2,NA,NA,2500
2886,1,1,5,3,2500
2884,NA,1,4,1,2500
2888,1,1,5,3,2500
2895.1,NA,NA,NA,NA,2500
2895.2,1,1,4,1,2500
2912,NA,1,4,1,2750
3964,1,2,6,2,2750
3933,1,1,5,2,2750
2861,1,1,4,1,2750
3946,1,1,5,2,2750
3937,1,NA,NA,NA,2750
3948,1.2,1,5,2,2750
2868,1,1,5,2,2750
3940,NA,1,5,2,2750
3955,NA,1,5,2,2750
3956,1,1,5,2,2750
3951,NA,NA,NA,NA,2750
3959,1,1,5,2,2750
3929,1,NA,NA,NA,2750
4226,0,1,5,2,2750
4223,0,2,5,3,2750
2836,1,NA,NA,NA,2750
4230,0,1,5,2,2750
4194.1,1,1,5,2,2750
4194.2,1,1,NA,NA,2750
4070,1,2,5,2,2750
4211,1,NA,NA,NA,2750
4191,NA,1,5,2,2750
4195,1,1,6,3,2750
4190,1,1,5,2,2750
2812,1,1,7,3,2750
2803,NA,NA,NA,NA,2750
4160,1,NA,NA,NA,2750
2833,1,NA,NA,NA,2750
4185,NA,NA,NA,NA,2750
4186,NA,NA,NA,NA,2750
4212,1,1,5,2,2750
4244,1,1,6,2,2750
4245,1,1,6,2,2750
4121,1,1,5,2,3000
3868,NA,1,5,2,3000
3872,NA,NA,NA,NA,3000
4090,NA,NA,NA,NA,3000
4085,1,1,5,1,3000
3869,NA,1,NA,NA,3000
4105.1,NA,NA,NA,NA,3000
4105.2,1,1,5,2,3000
4128,NA,1,5,2,3000
4204,1,1,5,2,3000
4106,NA,2,7,3,3000
3877,NA,NA,NA,NA,3000
3878,1,1,4,1,3000
4117.1,1,NA,NA,NA,3000
4117.2,1,NA,NA,NA,3000
4110,1,NA,6,3,3000
4097,NA,2,5,2,3000
3857,1,1,5,2,3000
3893,NA,NA,NA,NA,3000
3885,1,1,5,2,3000
4133,NA,1,6,3,3000
4099,1,NA,NA,NA,3000
4102,1,NA,NA,NA,3000
4107,1,NA,NA,NA,3000
4145,1,NA,NA,NA,3000
4078,1,1,4,1,3000
3420,1.2,1,5,2,3000
3414,1,NA,NA,NA,3000
4073,1,1,5,2,3000
4086,1,1,6,2,3000
3426,1,1,5,2,3000
4098,NA,1,4,1,3000
3421,0,1,5,2,3000
3434,1,1,5,2,3000
3431,0,1,5,2,3000
3852,1,1,6,2,3000
4074,1,1,5,3,3000
3848,1,1,5,2,3000
4077,NA,NA,NA,NA,3000
3427,2.2,1,NA,NA,3000
3424,2.2,1,5,2,3000
4079,NA,NA,NA,NA,3000
3416,1,1,5,2,3000
3422,1,1,NA,NA,3000
3708,1,1,NA,NA,3000
4053,1,1,5,2,3000
3408,1,1,NA,NA,3000
4076,1,1,5,2,3000
4062,1,1,5,2,3000
4065,0,1,4,1,3000
4082,NA,NA,NA,NA,3000
3393.1,1,1,5,1,3000
3393.2,1,NA,NA,NA,3000
3399,2.2,1,5,2,3000
3405,NA,NA,NA,NA,3000
3944,NA,NA,NA,NA,3000
3215,NA,NA,NA,NA,3000
3330,1,3,6,3,3250
3846,NA,1,5,2,3250
3884,0,1,5,2,3250
4081,0,1,4,1,3250
3914,1,1,5,2,3250
3861,1,1,5,2,3250
3862,NA,1,5,2,3250
3915,1,NA,NA,NA,3250
3807.1,1,1,5,2,3250
3807.2,1,1,5,2,3250
3882,0,1,5,2,3250
3911.1,1,2,5,3,3250
3911.2,NA,1,6,2,3250
3276,NA,1,4,1,3250
3865,0,1,5,2,3250
3871,0,1,6,4,3250
3891,1,1,5,2,3250
3939,1,1,5,2,3250
3825,0,1,5,2,3250
3278,1,1,5,2,3250
3297,NA,NA,NA,NA,3250
3816,1,1,4,1,3250
3881,1,1,5,2,3250
3824.1,1,1,4,2,3250
3824.2,1,2,5,2,3250
3843,NA,NA,NA,NA,3250
3324,1,0,5,2,3250
3334,1,1,6,2,3250
3888,1,NA,NA,NA,3250
3328,1,1,5,1,3250
3904,1,1,6,3,3250
3905,1,1,NA,NA,3250
3920,0,2,5,3,3250
3839,1,1,5,2,3250
3845,1,1,5,2,3250
4047,1,1,5,2,3250
3296,1,1,5,2,3250
3902,1,0,5,2,3250
3906,1,1,5,1,3250
3930,1,1,6,2,3250
3292,1,1,5,2,3250
3802,NA,1,6,3,3250
3838,0,1,4,1,3250
3819,NA,NA,NA,NA,3250
3847,NA,NA,NA,NA,3250
3859,0,1,5,2,3250
3345,1,1,6,2,3250
3814,1,1,6,2,3250
3853,1,1,NA,NA,3250
3737.1,1,1,NA,NA,3250
3737.2,1,1,6,2,3250
3295.1,1,1,5,2,3250
3295.2,NA,NA,NA,NA,3250
3726,1,1,5,2,3250
3841,1,NA,NA,NA,3250
3907,NA,1,5,2,3250
3209,1,1,5,2,3250
3270,1,1,5,2,3250
3298,1,3,6,2,3250
3700,1,1,5,2,3250
3736,NA,1,6,4,3250
3777,1,1,5,2,3250
3687,NA,1,4,1,3250
3782,NA,1,5,2,3250
3783,1,1,5,2,3250
3917,1,1,5,2,3250
3378,1,1,6,1,3250
3267,1,1,5,2,3250
3780,NA,1,4,1,3250
3771,NA,1,NA,NA,3250
3681,NA,1,5,2,3250
3713,NA,1,NA,NA,3250
3689,0,1,5,2,3250
3728,1,1,5,2,3250
3690,1,1,5,1,3250
3706,1,1,5,2,3250
3712,1,1,6,2,3250
3359,1,1,5,2,3250
3245,1,1,5,2,3250
3256,0,1,NA,NA,3250
3680,NA,1,5,2,3250
3243,1,1,5,2,3250
3247,1,1,5,2,3250
3673,NA,1,5,2,3250
3263,1,1,NA,NA,3250
3227,NA,1,6,2,3250
3239,1,1,NA,NA,3250
3369,NA,1,5,2,3250
3725,1,1,6,2,3250
3234,NA,NA,NA,NA,3250
3738,0,1,3,0,3250
3750.1,1,1,6,3,3250
3750.2,0,NA,NA,NA,3250
3750.3,0,1,5,2,3250
3750.4,1,1,7,3,3250
3766,1,3,6,3,3250
3754,1,NA,NA,NA,3250
3384,1,1,5,2,3250
3387,1,1,5,2,3250
3734,1,1,5,2,3250
3668,1,1,5,1,3250
3671,0,1,6,1,3250
3678,0,1,6,2,3250
3751,NA,1,NA,NA,3250
3333,NA,1,NA,NA,3250
3347,NA,1,6,2,3250
3742,1,0,NA,NA,3250
1287,1,1,5,2,3250
3332,1,1,5,2,3250
3238,NA,NA,NA,NA,3250
3667,1,1,NA,NA,3250
3204.1,1,1,6,2,3250
3204.2,NA,1,5,2,3250
3204.3,1,NA,NA,NA,3250
3204.4,1,1,4,1,3250
3197,1,1,5,2,3250
3199,0,1,6,2,3250
3319,1,1,5,2,3250
3666,NA,1,5,3,3250
3707.1,NA,1,5,2,3250
3707.2,1,1,5,1,3250
3670,1,1,4,1,3500
3718,0,1,5,1,3500
3743,1,1,NA,NA,3500
3644,NA,NA,NA,NA,3500
3735,NA,1,6,5,3500
3662,1,2,4,2,3500
3663,1,1,5,2,3500
3272,NA,NA,NA,NA,3500
3249,NA,NA,NA,NA,3500
3373,1,2,NA,NA,3500
3326,NA,1,5,2,3500
3630,1,1,5,2,3500
3661,1,1,NA,NA,3500
3600.1,1,1,5,2,3500
3600.2,1,NA,NA,NA,3500
3606,1,1,5,2,3500
3210,1,1,4,1,3500
3636,1,1,5,2,3500
3638,1,1,4,1,3500
3608,1,1,6,1,3500
3603,0,1,5,2,3500
3610,0,1,5,2,3500
3624,NA,NA,NA,NA,3500
3641,1,1,5,2,3500
3252,0,1,6,2,3500
3626,NA,NA,NA,NA,3500
3288,NA,1,5,2,3500
3596,NA,1,6,2,3500
3613,NA,NA,NA,NA,3500
3593,1,1,5,2,3500
3623,1,1,5,2,3500
3194,1,1,4,1,3500
